,granule,geojson,description,geojson_full,fn,hold_reason,is_memory
0,ATL03_20211226121136_00641412_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Ipp-J.geojson,AIS_2021-22_1000_Peninsula_Ipp-J,geojsons/ANT_1000_Peninsula_Ipp-J.geojson,logs/job_AIS_2021-22_1000_Peninsula_Ipp-J-138198_ATL03_20211226121136_00641412_006_01.h5-4839.log,memory usage exceeded request_memory,True
1,ATL03_20211230120315_01251412_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Ipp-J.geojson,AIS_2021-22_1000_Peninsula_Ipp-J,geojsons/ANT_1000_Peninsula_Ipp-J.geojson,logs/job_AIS_2021-22_1000_Peninsula_Ipp-J-138198_ATL03_20211230120315_01251412_006_01.h5-4841.log,memory usage exceeded request_memory,True
2,ATL03_20221224185056_00641812_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Ipp-J.geojson,AIS_2022-23_1000_Peninsula_Ipp-J,geojsons/ANT_1000_Peninsula_Ipp-J.geojson,logs/job_AIS_2022-23_1000_Peninsula_Ipp-J-138198_ATL03_20221224185056_00641812_006_01.h5-4889.log,memory usage exceeded request_memory,True
3,ATL03_20230101183418_01861812_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Ipp-J.geojson,AIS_2022-23_1000_Peninsula_Ipp-J,geojsons/ANT_1000_Peninsula_Ipp-J.geojson,logs/job_AIS_2022-23_1000_Peninsula_Ipp-J-138198_ATL03_20230101183418_01861812_006_01.h5-4893.log,memory usage exceeded request_memory,True
4,ATL03_20230122172703_05061812_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Ipp-J.geojson,AIS_2022-23_1000_Peninsula_Ipp-J,geojsons/ANT_1000_Peninsula_Ipp-J.geojson,logs/job_AIS_2022-23_1000_Peninsula_Ipp-J-138198_ATL03_20230122172703_05061812_006_01.h5-4906.log,memory usage exceeded request_memory,True
5,ATL03_20230126171849_05671812_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Ipp-J.geojson,AIS_2022-23_1000_Peninsula_Ipp-J,geojsons/ANT_1000_Peninsula_Ipp-J.geojson,logs/job_AIS_2022-23_1000_Peninsula_Ipp-J-138198_ATL03_20230126171849_05671812_006_01.h5-4908.log,memory usage exceeded request_memory,True
6,ATL03_20230224155458_10091812_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Ipp-J.geojson,AIS_2022-23_1000_Peninsula_Ipp-J,geojsons/ANT_1000_Peninsula_Ipp-J.geojson,logs/job_AIS_2022-23_1000_Peninsula_Ipp-J-138198_ATL03_20230224155458_10091812_006_01.h5-4923.log,memory usage exceeded request_memory,True
7,ATL03_20230228154624_10701812_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Ipp-J.geojson,AIS_2022-23_1000_Peninsula_Ipp-J,geojsons/ANT_1000_Peninsula_Ipp-J.geojson,logs/job_AIS_2022-23_1000_Peninsula_Ipp-J-138198_ATL03_20230228154624_10701812_006_01.h5-4925.log,memory usage exceeded request_memory,True
8,ATL03_20211202222718_10911312_006_01.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2021-22_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2021-22_1000_East_Dp-E-138198_ATL03_20211202222718_10911312_006_01.h5-7576.log,memory usage exceeded request_memory,True
9,ATL03_20211214220221_12741312_006_01.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2021-22_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2021-22_1000_East_Dp-E-138198_ATL03_20211214220221_12741312_006_01.h5-7594.log,memory usage exceeded request_memory,True
