,granule,geojson,description,geojson_full,fn,hold_reason,is_memory
0,ATL03_20181214173812_11770112_006_02.h5,geojsons/simplified_ANT_1000_Peninsula_Hp-I.geojson,AIS_2018-19_1000_Peninsula_Hp-I,geojsons/ANT_1000_Peninsula_Hp-I.geojson,logs/job_AIS_2018-19_1000_Peninsula_Hp-I-138197_ATL03_20181214173812_11770112_006_02.h5-6845.log,memory usage exceeded request_memory,True
1,ATL03_20181218172954_12380112_006_02.h5,geojsons/simplified_ANT_1000_Peninsula_Hp-I.geojson,AIS_2018-19_1000_Peninsula_Hp-I,geojsons/ANT_1000_Peninsula_Hp-I.geojson,logs/job_AIS_2018-19_1000_Peninsula_Hp-I-138197_ATL03_20181218172954_12380112_006_02.h5-6850.log,memory usage exceeded request_memory,True
2,ATL03_20181230170458_00340212_006_02.h5,geojsons/simplified_ANT_1000_Peninsula_Hp-I.geojson,AIS_2018-19_1000_Peninsula_Hp-I,geojsons/ANT_1000_Peninsula_Hp-I.geojson,logs/job_AIS_2018-19_1000_Peninsula_Hp-I-138197_ATL03_20181230170458_00340212_006_02.h5-6867.log,memory usage exceeded request_memory,True
3,ATL03_20190103165639_00950212_006_02.h5,geojsons/simplified_ANT_1000_Peninsula_Hp-I.geojson,AIS_2018-19_1000_Peninsula_Hp-I,geojsons/ANT_1000_Peninsula_Hp-I.geojson,logs/job_AIS_2018-19_1000_Peninsula_Hp-I-138197_ATL03_20190103165639_00950212_006_02.h5-6873.log,memory usage exceeded request_memory,True
4,ATL03_20190112161416_02320212_006_02.h5,geojsons/simplified_ANT_1000_Peninsula_Hp-I.geojson,AIS_2018-19_1000_Peninsula_Hp-I,geojsons/ANT_1000_Peninsula_Hp-I.geojson,logs/job_AIS_2018-19_1000_Peninsula_Hp-I-138197_ATL03_20190112161416_02320212_006_02.h5-6885.log,memory usage exceeded request_memory,True
5,ATL03_20190116160551_02930212_006_02.h5,geojsons/simplified_ANT_1000_Peninsula_Hp-I.geojson,AIS_2018-19_1000_Peninsula_Hp-I,geojsons/ANT_1000_Peninsula_Hp-I.geojson,logs/job_AIS_2018-19_1000_Peninsula_Hp-I-138197_ATL03_20190116160551_02930212_006_02.h5-6890.log,memory usage exceeded request_memory,True
6,ATL03_20190210145029_06740212_006_02.h5,geojsons/simplified_ANT_1000_Peninsula_Hp-I.geojson,AIS_2018-19_1000_Peninsula_Hp-I,geojsons/ANT_1000_Peninsula_Hp-I.geojson,logs/job_AIS_2018-19_1000_Peninsula_Hp-I-138197_ATL03_20190210145029_06740212_006_02.h5-6923.log,memory usage exceeded request_memory,True
7,ATL03_20201205181714_11080910_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Hp-I.geojson,AIS_2020-21_1000_Peninsula_Hp-I,geojsons/ANT_1000_Peninsula_Hp-I.geojson,logs/job_AIS_2020-21_1000_Peninsula_Hp-I-138197_ATL03_20201205181714_11080910_006_01.h5-7081.log,memory usage exceeded request_memory,True
8,ATL03_20201213180035_12300910_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Hp-I.geojson,AIS_2020-21_1000_Peninsula_Hp-I,geojsons/ANT_1000_Peninsula_Hp-I.geojson,logs/job_AIS_2020-21_1000_Peninsula_Hp-I-138197_ATL03_20201213180035_12300910_006_01.h5-7090.log,memory usage exceeded request_memory,True
9,ATL03_20201217175216_12910910_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Hp-I.geojson,AIS_2020-21_1000_Peninsula_Hp-I,geojsons/ANT_1000_Peninsula_Hp-I.geojson,logs/job_AIS_2020-21_1000_Peninsula_Hp-I-138197_ATL03_20201217175216_12910910_006_01.h5-7095.log,memory usage exceeded request_memory,True
