,granule,geojson,description,geojson_full,fn,hold_reason,is_memory
0,ATL03_20181122001403_08300111_006_02.h5,geojsons/simplified_ANT_1000_West_Ep-F.geojson,AIS_2018-19_1000_West_Ep-F,geojsons/ANT_1000_West_Ep-F.geojson,logs/job_AIS_2018-19_1000_West_Ep-F-114218_ATL03_20181122001403_08300111_006_02.h5-3131.log,memory usage exceeded request_memory,True
1,ATL03_20181201182850_09790112_006_02.h5,geojsons/simplified_ANT_1000_Peninsula_Hp-I.geojson,AIS_2018-19_1000_Peninsula_Hp-I,geojsons/ANT_1000_Peninsula_Hp-I.geojson,logs/job_AIS_2018-19_1000_Peninsula_Hp-I-114218_ATL03_20181201182850_09790112_006_02.h5-8066.log,memory usage exceeded request_memory,True
2,ATL03_20181210174632_11160112_006_02.h5,geojsons/simplified_ANT_1000_Peninsula_Hp-I.geojson,AIS_2018-19_1000_Peninsula_Hp-I,geojsons/ANT_1000_Peninsula_Hp-I.geojson,logs/job_AIS_2018-19_1000_Peninsula_Hp-I-114218_ATL03_20181210174632_11160112_006_02.h5-8077.log,memory usage exceeded request_memory,True
3,ATL03_20190112161416_02320212_006_02.h5,geojsons/simplified_ANT_1000_Peninsula_Hp-I.geojson,AIS_2018-19_1000_Peninsula_Hp-I,geojsons/ANT_1000_Peninsula_Hp-I.geojson,logs/job_AIS_2018-19_1000_Peninsula_Hp-I-114218_ATL03_20190112161416_02320212_006_02.h5-8122.log,memory usage exceeded request_memory,True
4,ATL03_20190202150712_05520212_006_02.h5,geojsons/simplified_ANT_1000_Peninsula_Hp-I.geojson,AIS_2018-19_1000_Peninsula_Hp-I,geojsons/ANT_1000_Peninsula_Hp-I.geojson,logs/job_AIS_2018-19_1000_Peninsula_Hp-I-114218_ATL03_20190202150712_05520212_006_02.h5-8150.log,memory usage exceeded request_memory,True
5,ATL03_20190210145029_06740212_006_02.h5,geojsons/simplified_ANT_1000_Peninsula_Hp-I.geojson,AIS_2018-19_1000_Peninsula_Hp-I,geojsons/ANT_1000_Peninsula_Hp-I.geojson,logs/job_AIS_2018-19_1000_Peninsula_Hp-I-114218_ATL03_20190210145029_06740212_006_02.h5-8160.log,memory usage exceeded request_memory,True
6,ATL03_20201118191611_08490910_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Hp-I.geojson,AIS_2020-21_1000_Peninsula_Hp-I,geojsons/ANT_1000_Peninsula_Hp-I.geojson,logs/job_AIS_2020-21_1000_Peninsula_Hp-I-114218_ATL03_20201118191611_08490910_006_01.h5-8339.log,memory usage exceeded request_memory,True
7,ATL03_20201213180035_12300910_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Hp-I.geojson,AIS_2020-21_1000_Peninsula_Hp-I,geojsons/ANT_1000_Peninsula_Hp-I.geojson,logs/job_AIS_2020-21_1000_Peninsula_Hp-I-114218_ATL03_20201213180035_12300910_006_01.h5-8373.log,memory usage exceeded request_memory,True
8,ATL03_20201217175216_12910910_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Hp-I.geojson,AIS_2020-21_1000_Peninsula_Hp-I,geojsons/ANT_1000_Peninsula_Hp-I.geojson,logs/job_AIS_2020-21_1000_Peninsula_Hp-I-114218_ATL03_20201217175216_12910910_006_01.h5-8378.log,memory usage exceeded request_memory,True
9,ATL03_20201229172717_00871010_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Hp-I.geojson,AIS_2020-21_1000_Peninsula_Hp-I,geojsons/ANT_1000_Peninsula_Hp-I.geojson,logs/job_AIS_2020-21_1000_Peninsula_Hp-I-114218_ATL03_20201229172717_00871010_006_01.h5-8395.log,memory usage exceeded request_memory,True
