,granule,geojson,description,geojson_full,fn,hold_reason,is_memory
0,ATL03_20190523190904_08480305_006_02.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2019_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2019_2000_NE-138199_ATL03_20190523190904_08480305_006_02.h5-21.log,memory usage exceeded request_memory,True
1,ATL03_20190604184403_10310305_006_02.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2019_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2019_2000_NE-138199_ATL03_20190604184403_10310305_006_02.h5-51.log,memory usage exceeded request_memory,True
2,ATL03_20190608183544_10920305_006_02.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2019_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2019_2000_NE-138199_ATL03_20190608183544_10920305_006_02.h5-62.log,memory usage exceeded request_memory,True
3,ATL03_20190613180145_11680305_006_02.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2019_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2019_2000_NE-138199_ATL03_20190613180145_11680305_006_02.h5-76.log,memory usage exceeded request_memory,True
4,ATL03_20190625173644_13510305_006_02.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2019_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2019_2000_NE-138199_ATL03_20190625173644_13510305_006_02.h5-104.log,memory usage exceeded request_memory,True
5,ATL03_20190716162917_02840405_006_02.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2019_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2019_2000_NE-138199_ATL03_20190716162917_02840405_006_02.h5-122.log,memory usage exceeded request_memory,True
6,ATL03_20190724161242_04060405_006_02.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2019_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2019_2000_NE-138199_ATL03_20190724161242_04060405_006_02.h5-141.log,memory usage exceeded request_memory,True
7,ATL03_20190728160425_04670405_006_02.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2019_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2019_2000_NE-138199_ATL03_20190728160425_04670405_006_02.h5-151.log,memory usage exceeded request_memory,True
8,ATL03_20190801155607_05280405_006_02.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2019_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2019_2000_NE-138199_ATL03_20190801155607_05280405_006_02.h5-161.log,memory usage exceeded request_memory,True
9,ATL03_20190805154748_05890405_006_02.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2019_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2019_2000_NE-138199_ATL03_20190805154748_05890405_006_02.h5-173.log,memory usage exceeded request_memory,True
