,granule,geojson,description,geojson_full,fn,hold_reason,is_memory
0,ATL03_20220611135135_12291505_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2022_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2022_2000_NE-135549_ATL03_20220611135135_12291505_006_01.h5-103.log,memory usage exceeded request_memory,True
1,ATL03_20210620194444_13441103_006_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2021_2000_SW,geojsons/GRE_2000_SW.geojson,logs/job_GrIS_2021_2000_SW-135549_ATL03_20210620194444_13441103_006_01.h5-150.log,memory usage exceeded request_memory,True
2,ATL03_20190830143213_09700405_006_02.h5,geojsons/simplified_GRE_2000_CE.geojson,GrIS_2019_2000_CE,geojsons/GRE_2000_CE.geojson,logs/job_GrIS_2019_2000_CE-135549_ATL03_20190830143213_09700405_006_02.h5-183.log,memory usage exceeded request_memory,True
3,ATL03_20200729095028_05200803_006_01.h5,geojsons/simplified_GRE_2000_CE.geojson,GrIS_2020_2000_CE,geojsons/GRE_2000_CE.geojson,logs/job_GrIS_2020_2000_CE-135549_ATL03_20200729095028_05200803_006_01.h5-195.log,memory usage exceeded request_memory,True
4,ATL03_20220623132645_00251605_006_01.h5,geojsons/simplified_GRE_2000_CE.geojson,GrIS_2022_2000_CE,geojsons/GRE_2000_CE.geojson,logs/job_GrIS_2022_2000_CE-135549_ATL03_20220623132645_00251605_006_01.h5-224.log,memory usage exceeded request_memory,True
5,ATL03_20230527083622_10231903_006_01.h5,geojsons/simplified_GRE_2000_CE.geojson,GrIS_2023_2000_CE,geojsons/GRE_2000_CE.geojson,logs/job_GrIS_2023_2000_CE-135549_ATL03_20230527083622_10231903_006_01.h5-230.log,memory usage exceeded request_memory,True
6,ATL03_20190128154108_04760212_006_02.h5,geojsons/simplified_ANT_1000_Peninsula_Hp-I.geojson,AIS_2018-19_1000_Peninsula_Hp-I,geojsons/ANT_1000_Peninsula_Hp-I.geojson,logs/job_AIS_2018-19_1000_Peninsula_Hp-I-135549_ATL03_20190128154108_04760212_006_02.h5-582.log,memory usage exceeded request_memory,True
7,ATL03_20181224163017_13290112_006_02.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2018-19_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2018-19_1000_Peninsula_I-Ipp-135549_ATL03_20181224163017_13290112_006_02.h5-1203.log,memory usage exceeded request_memory,True
8,ATL03_20181227164736_13750112_006_02.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2018-19_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2018-19_1000_Peninsula_I-Ipp-135549_ATL03_20181227164736_13750112_006_02.h5-1204.log,memory usage exceeded request_memory,True
9,ATL03_20190113154835_02470212_006_02.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2018-19_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2018-19_1000_Peninsula_I-Ipp-135549_ATL03_20190113154835_02470212_006_02.h5-1213.log,memory usage exceeded request_memory,True
10,ATL03_20201229080133_00811010_006_01.h5,geojsons/simplified_ANT_1000_East_B-C.geojson,AIS_2020-21_1000_East_B-C,geojsons/ANT_1000_East_B-C.geojson,logs/job_AIS_2020-21_1000_East_B-C-135549_ATL03_20201229080133_00811010_006_01.h5-1838.log,memory usage exceeded request_memory,True
11,ATL03_20190105142520_01240211_006_02.h5,geojsons/simplified_ANT_1000_East_Jpp-K.geojson,AIS_2018-19_1000_East_Jpp-K,geojsons/ANT_1000_East_Jpp-K.geojson,logs/job_AIS_2018-19_1000_East_Jpp-K-135549_ATL03_20190105142520_01240211_006_02.h5-2492.log,memory usage exceeded request_memory,True
12,ATL03_20201201182533_10470910_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Hp-I.geojson,AIS_2020-21_1000_Peninsula_Hp-I,geojsons/ANT_1000_Peninsula_Hp-I.geojson,logs/job_AIS_2020-21_1000_Peninsula_Hp-I-135549_ATL03_20201201182533_10470910_006_01.h5-3791.log,memory usage exceeded request_memory,True
13,ATL03_20230107032559_02681812_006_01.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2022-23_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2022-23_1000_East_Dp-E-135549_ATL03_20230107032559_02681812_006_01.h5-3926.log,memory usage exceeded request_memory,True
14,ATL03_20221219192450_13751712_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2022-23_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2022-23_1000_Peninsula_I-Ipp-135549_ATL03_20221219192450_13751712_006_01.h5-3935.log,memory usage exceeded request_memory,True
15,ATL03_20230114174339_03841812_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2022-23_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2022-23_1000_Peninsula_I-Ipp-135549_ATL03_20230114174339_03841812_006_01.h5-3936.log,memory usage exceeded request_memory,True
16,ATL03_20230216161125_08871812_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2022-23_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2022-23_1000_Peninsula_I-Ipp-135549_ATL03_20230216161125_08871812_006_01.h5-3938.log,memory usage exceeded request_memory,True
17,ATL03_20190531060731_09620303_006_02.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2019_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2019_2000_NE-135549_ATL03_20190531060731_09620303_006_02.h5-5.log,The job restarted too many times,False
18,ATL03_20190604184403_10310305_006_02.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2019_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2019_2000_NE-135549_ATL03_20190604184403_10310305_006_02.h5-8.log,The job restarted too many times,False
