,granule,geojson,description,geojson_full,fn,hold_reason,is_memory
0,ATL03_20181201182850_09790112_006_02.h5,geojsons/simplified_ANT_1000_Peninsula_Hp-I.geojson,AIS_2018-19_1000_Peninsula_Hp-I,geojsons/ANT_1000_Peninsula_Hp-I.geojson,logs/job_AIS_2018-19_1000_Peninsula_Hp-I-197770_ATL03_20181201182850_09790112_006_02.h5-567.log,memory usage exceeded request_memory,True
1,ATL03_20181201024556_09690112_006_02.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2018-19_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2018-19_1000_East_Dp-E-197770_ATL03_20181201024556_09690112_006_02.h5-1379.log,memory usage exceeded request_memory,True
2,ATL03_20181217021239_12130112_006_02.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2018-19_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2018-19_1000_East_Dp-E-197770_ATL03_20181217021239_12130112_006_02.h5-1390.log,memory usage exceeded request_memory,True
3,ATL03_20181230012204_00240212_006_02.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2018-19_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2018-19_1000_East_Dp-E-197770_ATL03_20181230012204_00240212_006_02.h5-1399.log,memory usage exceeded request_memory,True
4,ATL03_20190103011346_00850212_006_02.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2018-19_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2018-19_1000_East_Dp-E-197770_ATL03_20190103011346_00850212_006_02.h5-1405.log,memory usage exceeded request_memory,True
5,ATL03_20190107010526_01460212_006_02.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2018-19_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2018-19_1000_East_Dp-E-197770_ATL03_20190107010526_01460212_006_02.h5-1410.log,memory usage exceeded request_memory,True
6,ATL03_20190115004839_02680212_006_02.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2018-19_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2018-19_1000_East_Dp-E-197770_ATL03_20190115004839_02680212_006_02.h5-1419.log,memory usage exceeded request_memory,True
7,ATL03_20190119004019_03290212_006_02.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2018-19_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2018-19_1000_East_Dp-E-197770_ATL03_20190119004019_03290212_006_02.h5-1423.log,memory usage exceeded request_memory,True
8,ATL03_20191203200329_10370510_006_01.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2019-20_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2019-20_1000_East_Dp-E-197770_ATL03_20191203200329_10370510_006_01.h5-1457.log,memory usage exceeded request_memory,True
9,ATL03_20191215193829_12200510_006_01.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2019-20_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2019-20_1000_East_Dp-E-197770_ATL03_20191215193829_12200510_006_01.h5-1465.log,memory usage exceeded request_memory,True
10,ATL03_20201217020923_12810910_006_01.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2020-21_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2020-21_1000_East_Dp-E-197770_ATL03_20201217020923_12810910_006_01.h5-1527.log,memory usage exceeded request_memory,True
