ice_sheet,melt_season,geojson,start_date,end_date,status_url,ngranules_request,request_code
GrIS,2019,simplified_GRE_2200_CW.geojson,2019-05-01,2019-09-30,-1,-1,-1
GrIS,2020,simplified_GRE_2200_CW.geojson,2020-05-01,2020-09-30,-1,-1,-1
GrIS,2021,simplified_GRE_2200_CW.geojson,2021-05-01,2021-09-30,-1,-1,-1
GrIS,2022,simplified_GRE_2200_CW.geojson,2022-05-01,2022-09-30,-1,-1,-1
GrIS,2023,simplified_GRE_2200_CW.geojson,2023-05-01,2023-09-30,-1,-1,-1
GrIS,2019,simplified_GRE_2200_SE.geojson,2019-05-01,2019-09-30,-1,-1,-1
GrIS,2020,simplified_GRE_2200_SE.geojson,2020-05-01,2020-09-30,-1,-1,-1
GrIS,2021,simplified_GRE_2200_SE.geojson,2021-05-01,2021-09-30,-1,-1,-1
GrIS,2022,simplified_GRE_2200_SE.geojson,2022-05-01,2022-09-30,-1,-1,-1
GrIS,2023,simplified_GRE_2200_SE.geojson,2023-05-01,2023-09-30,-1,-1,-1
GrIS,2019,simplified_GRE_2200_NW.geojson,2019-05-01,2019-09-30,-1,-1,-1
GrIS,2020,simplified_GRE_2200_NW.geojson,2020-05-01,2020-09-30,-1,-1,-1
GrIS,2021,simplified_GRE_2200_NW.geojson,2021-05-01,2021-09-30,-1,-1,-1
GrIS,2022,simplified_GRE_2200_NW.geojson,2022-05-01,2022-09-30,-1,-1,-1
GrIS,2023,simplified_GRE_2200_NW.geojson,2023-05-01,2023-09-30,-1,-1,-1
GrIS,2019,simplified_GRE_2200_NO.geojson,2019-05-01,2019-09-30,-1,-1,-1
GrIS,2020,simplified_GRE_2200_NO.geojson,2020-05-01,2020-09-30,-1,-1,-1
GrIS,2021,simplified_GRE_2200_NO.geojson,2021-05-01,2021-09-30,-1,-1,-1
GrIS,2022,simplified_GRE_2200_NO.geojson,2022-05-01,2022-09-30,-1,-1,-1
GrIS,2023,simplified_GRE_2200_NO.geojson,2023-05-01,2023-09-30,-1,-1,-1
GrIS,2019,simplified_GRE_2200_CE.geojson,2019-05-01,2019-09-30,-1,-1,-1
GrIS,2020,simplified_GRE_2200_CE.geojson,2020-05-01,2020-09-30,-1,-1,-1
GrIS,2021,simplified_GRE_2200_CE.geojson,2021-05-01,2021-09-30,-1,-1,-1
GrIS,2022,simplified_GRE_2200_CE.geojson,2022-05-01,2022-09-30,-1,-1,-1
GrIS,2023,simplified_GRE_2200_CE.geojson,2023-05-01,2023-09-30,-1,-1,-1
GrIS,2019,simplified_GRE_2200_NE.geojson,2019-05-01,2019-09-30,-1,-1,-1
GrIS,2020,simplified_GRE_2200_NE.geojson,2020-05-01,2020-09-30,-1,-1,-1
GrIS,2021,simplified_GRE_2200_NE.geojson,2021-05-01,2021-09-30,-1,-1,-1
GrIS,2022,simplified_GRE_2200_NE.geojson,2022-05-01,2022-09-30,-1,-1,-1
GrIS,2023,simplified_GRE_2200_NE.geojson,2023-05-01,2023-09-30,-1,-1,-1
GrIS,2019,simplified_GRE_2200_SW.geojson,2019-05-01,2019-09-30,-1,-1,-1
GrIS,2020,simplified_GRE_2200_SW.geojson,2020-05-01,2020-09-30,-1,-1,-1
GrIS,2021,simplified_GRE_2200_SW.geojson,2021-05-01,2021-09-30,-1,-1,-1
GrIS,2022,simplified_GRE_2200_SW.geojson,2022-05-01,2022-09-30,-1,-1,-1
GrIS,2023,simplified_GRE_2200_SW.geojson,2023-05-01,2023-09-30,-1,-1,-1
AIS,2018-19,simplified_ANT_1000_East_Ap-B.geojson,2018-11-01,2019-03-31,-1,-1,-1
AIS,2019-20,simplified_ANT_1000_East_Ap-B.geojson,2019-11-01,2020-03-31,-1,-1,-1
AIS,2020-21,simplified_ANT_1000_East_Ap-B.geojson,2020-11-01,2021-03-31,-1,-1,-1
AIS,2021-22,simplified_ANT_1000_East_Ap-B.geojson,2021-11-01,2022-03-31,-1,-1,-1
AIS,2022-23,simplified_ANT_1000_East_Ap-B.geojson,2022-11-01,2023-03-31,-1,-1,-1
AIS,2018-19,simplified_ANT_1000_East_Jpp-K.geojson,2018-11-01,2019-03-31,-1,-1,-1
AIS,2019-20,simplified_ANT_1000_East_Jpp-K.geojson,2019-11-01,2020-03-31,-1,-1,-1
AIS,2020-21,simplified_ANT_1000_East_Jpp-K.geojson,2020-11-01,2021-03-31,-1,-1,-1
AIS,2021-22,simplified_ANT_1000_East_Jpp-K.geojson,2021-11-01,2022-03-31,-1,-1,-1
