ice_sheet,melt_season,geojson,start_date,end_date,status_url,request_code,ngranules_request
GrIS,2019,simplified_GRE_2200_CW.geojson,2019-05-01,2019-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624133,201,98
GrIS,2020,simplified_GRE_2200_CW.geojson,2020-05-01,2020-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624134,201,110
GrIS,2021,simplified_GRE_2200_CW.geojson,2021-05-01,2021-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624135,201,108
GrIS,2022,simplified_GRE_2200_CW.geojson,2022-05-01,2022-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624136,201,109
GrIS,2023,simplified_GRE_2200_CW.geojson,2023-05-01,2023-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624137,201,107
GrIS,2019,simplified_GRE_2200_SE.geojson,2019-05-01,2019-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624138,201,116
GrIS,2020,simplified_GRE_2200_SE.geojson,2020-05-01,2020-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624139,201,134
GrIS,2021,simplified_GRE_2200_SE.geojson,2021-05-01,2021-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624140,201,133
GrIS,2022,simplified_GRE_2200_SE.geojson,2022-05-01,2022-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624141,201,133
GrIS,2023,simplified_GRE_2200_SE.geojson,2023-05-01,2023-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624142,201,130
GrIS,2019,simplified_GRE_2200_NW.geojson,2019-05-01,2019-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624143,201,276
GrIS,2020,simplified_GRE_2200_NW.geojson,2020-05-01,2020-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624144,201,305
GrIS,2021,simplified_GRE_2200_NW.geojson,2021-05-01,2021-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624145,201,300
GrIS,2022,simplified_GRE_2200_NW.geojson,2022-05-01,2022-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624146,201,303
GrIS,2023,simplified_GRE_2200_NW.geojson,2023-05-01,2023-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624147,201,302
GrIS,2019,simplified_GRE_2200_NO.geojson,2019-05-01,2019-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624148,201,902
GrIS,2020,simplified_GRE_2200_NO.geojson,2020-05-01,2020-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624150,201,1016
GrIS,2021,simplified_GRE_2200_NO.geojson,2021-05-01,2021-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624151,201,995
GrIS,2022,simplified_GRE_2200_NO.geojson,2022-05-01,2022-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624152,201,1008
GrIS,2023,simplified_GRE_2200_NO.geojson,2023-05-01,2023-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624154,201,1009
GrIS,2019,simplified_GRE_2200_CE.geojson,2019-05-01,2019-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624155,201,169
GrIS,2020,simplified_GRE_2200_CE.geojson,2020-05-01,2020-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624156,201,186
GrIS,2021,simplified_GRE_2200_CE.geojson,2021-05-01,2021-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624157,201,181
GrIS,2022,simplified_GRE_2200_CE.geojson,2022-05-01,2022-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624158,201,182
GrIS,2023,simplified_GRE_2200_CE.geojson,2023-05-01,2023-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624159,201,184
GrIS,2019,simplified_GRE_2200_NE.geojson,2019-05-01,2019-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624160,201,421
GrIS,2020,simplified_GRE_2200_NE.geojson,2020-05-01,2020-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624161,201,461
GrIS,2021,simplified_GRE_2200_NE.geojson,2021-05-01,2021-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624162,201,451
GrIS,2022,simplified_GRE_2200_NE.geojson,2022-05-01,2022-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624163,201,454
GrIS,2023,simplified_GRE_2200_NE.geojson,2023-05-01,2023-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624164,201,458
GrIS,2019,simplified_GRE_2200_SW.geojson,2019-05-01,2019-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624165,201,101
GrIS,2020,simplified_GRE_2200_SW.geojson,2020-05-01,2020-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624166,201,117
GrIS,2021,simplified_GRE_2200_SW.geojson,2021-05-01,2021-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624167,201,115
GrIS,2022,simplified_GRE_2200_SW.geojson,2022-05-01,2022-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624168,201,116
GrIS,2023,simplified_GRE_2200_SW.geojson,2023-05-01,2023-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624169,201,114
AIS,2018-19,simplified_ANT_1000_East_Ap-B.geojson,2018-11-01,2019-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624170,201,480
